fileName,Category,Paths,Class
This is Going to Hurt,Medical,dataset/Medical/0000001.jpg,same
"Thinking, Fast and Slow",Medical,dataset/Medical/0000002.jpg,same
When Breath Becomes Air,Medical,dataset/Medical/0000003.jpg,same
The Happiness Trap,Medical,dataset/Medical/0000004.jpg,same
Man's Search For Meaning,Medical,dataset/Medical/0000005.jpg,same
The Man Who Mistook His Wife for a Hat,Medical,dataset/Medical/0000006.jpg,same
The 8-week Blood Sugar Diet,Medical,dataset/Medical/0000007.jpg,same
The Clever Guts Diet,Medical,dataset/Medical/0000008.jpg,same
12 Rules for Life,Medical,dataset/Medical/0000009.jpg,same
Being Mortal,Medical,dataset/Medical/0000010.jpg,same
Gut,Medical,dataset/Medical/0000011.jpg,same
The Brain That Changes Itself,Medical,dataset/Medical/0000012.jpg,same
Medical Medium Liver Rescue,Medical,dataset/Medical/0000013.jpg,same
Wreck This Journal,Medical,dataset/Medical/0000014.jpg,same
12 Rules for Life,Medical,dataset/Medical/0000015.jpg,same
12 Rules for Life,Medical,dataset/Medical/0000016.jpg,same
Gut and Psychology Syndrome,Medical,dataset/Medical/0000017.jpg,same
Medical Medium Thyroid Healing,Medical,dataset/Medical/0000018.jpg,same
Steal Like an Artist,Medical,dataset/Medical/0000019.jpg,same
Sitting Still Like A Frog,Medical,dataset/Medical/0000020.jpg,same
How Not To Die,Medical,dataset/Medical/0000021.jpg,same
The Whole-Brain Child,Medical,dataset/Medical/0000022.jpg,same
Birth Skills,Medical,dataset/Medical/0000023.jpg,same
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),Medical,dataset/Medical/0000024.jpg,same
Medical Medium Celery Juice,Medical,dataset/Medical/0000025.jpg,same
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Medical,dataset/Medical/0000026.jpg,same
Publication Manual of the American Psychological Association,Medical,dataset/Medical/0000027.jpg,same
Proof of Heaven,Medical,dataset/Medical/0000028.jpg,same
The Immortal Life of Henrietta Lacks,Medical,dataset/Medical/0000029.jpg,same
The Complete Guide to Asperger's Syndrome,Medical,dataset/Medical/0000030.jpg,same
